tamanhoBuffer,min,max,numExecucao,numRemocao,numCompactacao,garbagePercent,bloco,tamanhoMedioReq,tamanhoMedioBloco,tempo
1024,16,1024,1000,5067,998,80,1,539,539,96063763
1024,16,1024,1000,9931,998,80,1,524,524,120863655
1024,16,1024,1000,8560,998,80,1,519,519,120469844
1024,16,1024,1000,7803,998,80,1,534,534,122935753
1024,16,1024,1000,12108,996,80,1,511,511,131327867
1024,16,1024,1000,10038,997,80,1,521,521,147506347
1024,16,1024,1000,10427,996,80,1,515,515,123512090
2048,16,1024,1000,1490,994,80,1,515,515,73063895
2048,16,1024,1000,2132,997,80,1,517,517,86718536
2048,16,1024,1000,672,998,80,1,519,519,63806599
2048,16,1024,1000,986,997,80,1,519,519,63739726
2048,16,1024,1000,919,997,80,1,520,520,70395007
2048,16,1024,1000,674,997,80,1,525,525,66961215
2048,16,1024,1000,916,998,80,1,523,523,68410503
2048,16,1024,1000,1786,997,80,1,536,536,75892851
2048,16,1024,1000,754,998,80,1,526,526,68275524
2048,16,1024,1000,1415,997,80,1,515,515,69144831
4096,16,1024,1000,167,993,80,1,516,516,61837921
4096,16,1024,1000,170,992,80,1,513,513,56994287
4096,16,1024,1000,174,997,80,1,525,525,60957972
4096,16,1024,1000,174,997,80,1,527,527,63205108
4096,16,1024,1000,173,997,80,1,519,519,62102880
4096,16,1024,1000,167,993,80,1,513,513,56632773
4096,16,1024,1000,172,996,80,1,524,524,63310940
4096,16,1024,1000,173,993,80,1,515,515,62090453
4096,16,1024,1000,171,997,80,1,505,505,57677782
4096,16,1024,1000,174,997,80,1,521,521,71895925
8192,16,1024,1000,85,995,80,1,517,517,68528563
8192,16,1024,1000,87,996,80,1,528,528,66222619
8192,16,1024,1000,82,993,80,1,507,507,67085372
8192,16,1024,1000,88,993,80,1,537,537,65702665
8192,16,1024,1000,83,992,80,1,513,513,108433650
8192,16,1024,1000,84,987,80,1,520,520,65986839
8192,16,1024,1000,85,985,80,1,524,524,67305289
8192,16,1024,1000,84,995,80,1,505,505,63938758
8192,16,1024,1000,87,995,80,1,524,524,64109115
8192,16,1024,1000,81,985,80,1,500,500,62425682
16384,16,1024,1000,39,969,80,1,502,502,65789981
16384,16,1024,1000,42,987,80,1,529,529,62005593
16384,16,1024,1000,40,977,80,1,516,516,71688364
16384,16,1024,1000,41,969,80,1,524,524,69665350
16384,16,1024,1000,41,974,80,1,520,520,83008387
16384,16,1024,1000,40,987,80,1,509,509,69885913
16384,16,1024,1000,43,990,80,1,537,537,69875348
16384,16,1024,1000,40,992,80,1,506,506,67434745
16384,16,1024,1000,40,977,80,1,509,509,68816643
16384,16,1024,1000,40,969,80,1,513,513,67498601
1024,16,1024,1000,3573,997,90,1,522,522,86115508
1024,16,1024,1000,4683,998,90,1,526,526,89546025
1024,16,1024,1000,5362,996,90,1,521,521,92074858
1024,16,1024,1000,5396,998,90,1,535,535,95711535
1024,16,1024,1000,4226,998,90,1,520,520,80730749
1024,16,1024,1000,5687,998,90,1,524,524,99384195
1024,16,1024,1000,6276,998,90,1,523,523,99342985
1024,16,1024,1000,5778,998,90,1,521,521,101673682
1024,16,1024,1000,7800,997,90,1,537,537,113075478
1024,16,1024,1000,6986,997,90,1,550,550,109824927
2048,16,1024,1000,312,998,90,1,509,509,62424422
2048,16,1024,1000,312,997,90,1,518,518,68245060
2048,16,1024,1000,333,995,90,1,524,524,64766917
2048,16,1024,1000,319,997,90,1,518,518,65490934
2048,16,1024,1000,323,997,90,1,528,528,61767575
2048,16,1024,1000,360,996,90,1,525,525,61610628
2048,16,1024,1000,318,994,90,1,523,523,59913739
2048,16,1024,1000,408,996,90,1,520,520,59473701
2048,16,1024,1000,377,994,90,1,512,512,62206591
2048,16,1024,1000,337,997,90,1,532,532,60551083
4096,16,1024,1000,148,992,90,1,528,528,58529126
4096,16,1024,1000,147,998,90,1,514,514,60271703
4096,16,1024,1000,148,991,90,1,518,518,61266301
4096,16,1024,1000,146,995,90,1,519,519,62326530
4096,16,1024,1000,142,996,90,1,512,512,61867188
4096,16,1024,1000,144,998,90,1,510,510,58651779
4096,16,1024,1000,147,993,90,1,518,518,61136307
4096,16,1024,1000,147,996,90,1,526,526,64974300
4096,16,1024,1000,147,996,90,1,518,518,58778713
4096,16,1024,1000,149,995,90,1,530,530,64516983
8192,16,1024,1000,72,988,90,1,509,509,68480188
8192,16,1024,1000,74,992,90,1,524,524,63695171
8192,16,1024,1000,74,989,90,1,529,529,63707858
8192,16,1024,1000,74,993,90,1,518,518,63993259
8192,16,1024,1000,74,991,90,1,524,524,63716692
8192,16,1024,1000,72,986,90,1,516,516,61781421
8192,16,1024,1000,73,995,90,1,513,513,61694470
8192,16,1024,1000,73,992,90,1,515,515,63241558
8192,16,1024,1000,72,993,90,1,516,516,63912499
