tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,64,10,1,50,1,0.02,0.01,0.01,38180
1024,64,10,1,60,1,0.02,0.01,0.01,37932
1024,64,10,1,70,1,0.02,0.01,0.01,38164
1024,64,10,1,80,1,0.02,0.01,0.01,38460
1024,64,10,1,90,1,0.02,0.01,0.01,38048
1024,64,10,1,100,1,0.02,0.01,0.01,38464
1024,64,20,1,0,1,0.02,0.01,0.01,38144
1024,64,20,1,10,1,0.02,0.01,0.01,38224
1024,64,20,1,20,1,0.02,0.01,0.01,38192
1024,64,20,1,30,1,0.02,0.01,0.01,38248
1024,64,20,1,40,1,0.02,0.01,0.01,38068
1024,64,20,1,50,1,0.02,0.01,0.01,38152
1024,64,20,1,60,1,0.02,0.01,0.01,38120
1024,64,20,1,70,1,0.02,0.01,0.02,38344
1024,64,20,1,80,1,0.02,0.01,0.01,38420
1024,64,20,1,90,1,0.02,0.01,0.01,38304
1024,64,20,1,100,1,0.02,0.01,0.01,38476
1024,64,30,1,0,1,0.02,0.01,0.01,38028
1024,64,30,1,10,1,0.02,0.01,0.01,38252
1024,64,30,1,20,1,0.02,0.00,0.02,38064
1024,64,30,1,30,1,0.02,0.01,0.01,38048
1024,64,30,1,40,1,0.02,0.01,0.01,37832
1024,64,30,1,50,1,0.02,0.01,0.01,38120
1024,64,30,1,60,1,0.02,0.01,0.01,38204
1024,64,30,1,70,1,0.01,0.01,0.01,38128
1024,64,30,1,80,1,0.02,0.01,0.01,38388
1024,64,30,1,90,1,0.02,0.01,0.01,38232
1024,64,30,1,100,1,0.02,0.01,0.01,38180
1024,64,40,1,0,1,0.02,0.01,0.01,38184
1024,64,40,1,10,1,0.02,0.01,0.01,38252
1024,64,40,1,20,1,0.02,0.01,0.01,38120
1024,64,40,1,30,1,0.02,0.01,0.01,38160
1024,64,40,1,40,1,0.02,0.01,0.01,37888
