tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
8192,16,20,0,50,111847,,,,
2048,16,20,0,10,111948,,,,
8192,2,40,0,90,111957,,,,
8192,64,20,0,60,112088,,,,
2048,32,20,0,70,112308,,,,
4096,64,20,0,60,112559,,,,
4096,4,30,0,20,112719,,,,
4096,4,30,0,70,112809,,,,
1024,32,40,0,70,112950,,,,
8192,64,20,0,40,112959,,,,
1024,32,40,0,20,113100,,,,
1024,32,40,0,100,113150,,,,
4096,64,20,0,10,113189,,,,
1024,32,40,0,50,113500,,,,
2048,2,40,0,80,113600,,,,
8192,64,20,0,30,113601,,,,
8192,64,20,0,50,113620,,,,
8192,4,30,0,30,113671,,,,
4096,2,40,0,70,113861,,,,
8192,4,30,0,60,113881,,,,
2048,2,40,0,0,113961,,,,
4096,4,30,0,10,113971,,,,
8192,4,30,0,90,114072,,,,
2048,2,40,0,30,114121,,,,
1024,32,40,0,30,114222,,,,
2048,32,20,0,50,114392,,,,
1024,4,40,0,80,114753,,,,
1024,32,40,0,60,114772,,,,
2048,4,40,0,30,115083,,,,
2048,2,40,0,100,115153,,,,
1024,32,40,0,80,115183,,,,
2048,2,30,0,10,115214,,,,
1024,4,30,0,70,115384,,,,
4096,2,40,0,80,115704,,,,
4096,2,40,0,50,115784,,,,
1024,2,40,0,70,115805,,,,
4096,4,40,0,30,115824,,,,
8192,4,40,0,80,115855,,,,
8192,2,40,0,70,116024,,,,
1024,32,40,0,10,116165,,,,
8192,4,40,0,50,116205,,,,
8192,4,40,0,60,116416,,,,
1024,4,40,0,70,116656,,,,
2048,4,40,0,50,116656,,,,
4096,4,40,0,70,116746,,,,
1024,16,10,0,40,116756,,,,
8192,2,40,0,50,116776,,,,
1024,4,40,0,30,116816,,,,
8192,2,40,0,80,116837,,,,
8192,32,20,0,70,116837,,,,
1024,2,40,0,80,116957,,,,
2048,4,40,0,70,117007,,,,
1024,4,40,0,0,117057,,,,
4096,4,30,0,90,117107,,,,
2048,64,40,0,10,117287,,,,
1024,4,40,0,90,117497,,,,
1024,4,40,0,10,117627,,,,
8192,2,40,0,40,117678,,,,
2048,64,40,0,0,117698,,,,
4096,2,40,0,40,117919,,,,
4096,4,40,0,10,117928,,,,
4096,64,20,0,50,118018,,,,
8192,64,20,0,0,118079,,,,
4096,4,40,0,60,118148,,,,
1024,4,40,0,50,118420,,,,
2048,64,20,0,90,118530,,,,
1024,2,40,0,10,118679,,,,
4096,4,40,0,50,118820,,,,
2048,4,40,0,40,118890,,,,
4096,64,20,0,40,118910,,,,
8192,4,40,0,10,118940,,,,
2048,4,40,0,80,119331,,,,
2048,64,40,0,60,119351,,,,
2048,64,40,0,40,119412,,,,
2048,4,30,0,70,119452,,,,
2048,4,40,0,100,119521,,,,
8192,2,40,0,0,119581,,,,
2048,64,40,0,30,119672,,,,
8192,4,40,0,30,119932,,,,
4096,4,40,0,100,120032,,,,
2048,4,40,0,20,120182,,,,
1024,2,40,0,90,120262,,,,
2048,64,40,0,70,120343,,,,
8192,4,40,0,40,120584,,,,
2048,64,40,0,50,120804,,,,
2048,2,40,0,40,120814,,,,
2048,64,40,0,100,120874,,,,
4096,2,40,0,100,120904,,,,
2048,4,40,0,10,120984,,,,
4096,4,40,0,80,121014,,,,
2048,4,40,0,60,121244,,,,
2048,4,40,0,90,121275,,,,
8192,4,40,0,100,121595,,,,
4096,32,20,0,10,121615,,,,
8192,4,40,0,0,121725,,,,
4096,4,40,0,40,121866,,,,
8192,4,40,0,70,122416,,,,
4096,4,40,0,0,122747,,,,
4096,4,40,0,20,123239,,,,
2048,16,20,0,30,123529,,,,
1024,32,50,0,80,123729,,,,
2048,2,30,0,30,123930,,,,
1024,32,30,0,20,124070,,,,
1024,32,50,0,100,124070,,,,
1024,32,50,0,10,124380,,,,
1024,32,40,0,90,124631,,,,
1024,32,50,0,30,124731,,,,
1024,16,30,0,90,124821,,,,
1024,4,40,0,20,125152,,,,
1024,32,50,0,90,125693,,,,
1024,32,50,0,50,125752,,,,
4096,2,40,0,0,125923,,,,
1024,16,30,0,60,125954,,,,
2048,32,20,0,100,126394,,,,
1024,32,40,0,40,126474,,,,
4096,2,40,0,30,126474,,,,
2048,2,40,0,20,126674,,,,
1024,4,40,0,40,126715,,,,
1024,32,50,0,70,126755,,,,
1024,32,50,0,20,126895,,,,
1024,2,40,0,50,126995,,,,
